Total TSPLIB instances detected: 228
#################  NN Test on TSPLIB_Survey (ICAM style)  #################
TSPLIB folder: /public/home/bayp/exp_survey_202509/0_data_survey/survey_bench_tsp
-----------------------------------------------------------------
[141/228] Instance: pcb3038, dim: 3038, BKS: 137694, NN cost: 176310, GAP: 28.045%, time: 0.182s
[142/228] Instance: portcgen-1000-10009, dim: 1000, BKS: 10906997, NN cost: 14161183, GAP: 29.836%, time: 0.030s
[143/228] Instance: dkd1973, dim: 1973, BKS: 6421, NN cost: 8625, GAP: 34.325%, time: 0.088s
[144/228] Instance: dbj2924, dim: 2924, BKS: 10128, NN cost: 12683, GAP: 25.227%, time: 0.173s
[145/228] Instance: pma343, dim: 343, BKS: 1368, NN cost: 1799, GAP: 31.506%, time: 0.007s
[146/228] Instance: portcgen-3162-31623, dim: 3162, BKS: 19108508, NN cost: 24527603, GAP: 28.360%, time: 0.197s
[147/228] Instance: portcgen-1000-10007, dim: 1000, BKS: 10664660, NN cost: 14076695, GAP: 31.994%, time: 0.030s
[148/228] Instance: pr152, dim: 152, BKS: 73682, NN cost: 85699, GAP: 16.309%, time: 0.002s
[149/228] Instance: portcgen-31623-316231, dim: 31623, BKS: 59293266, NN cost: 78400538, GAP: 32.225%, time: 15.779s
[150/228] Instance: tz6117, dim: 6117, BKS: 394718, NN cost: 501184, GAP: 26.973%, time: 0.649s
[151/228] Instance: rat783, dim: 783, BKS: 8806, NN cost: 11054, GAP: 25.528%, time: 0.021s
[152/228] Instance: pr2392, dim: 2392, BKS: 378032, NN cost: 461170, GAP: 21.992%, time: 0.122s
[153/228] Instance: portcgen-10000-10000, dim: 10000, BKS: 33001034, NN cost: 42924251, GAP: 30.069%, time: 1.653s
[154/228] Instance: usa13509, dim: 13509, BKS: 19982859, NN cost: 24973197, GAP: 24.973%, time: 2.887s
[155/228] Instance: portcgen-100000-1000001, dim: 100000, BKS: 105390777, NN cost: 138032605, GAP: 30.972%, time: 174.908s
[156/228] Instance: frh19289, dim: 19289, BKS: 55798, NN cost: 70280, GAP: 25.954%, time: 5.895s
[157/228] Instance: lin318, dim: 318, BKS: 42029, NN cost: 54019, GAP: 28.528%, time: 0.006s
[158/228] Instance: djc1785, dim: 1785, BKS: 6115, NN cost: 7772, GAP: 27.097%, time: 0.075s
[159/228] Instance: irw2802, dim: 2802, BKS: 8423, NN cost: 10685, GAP: 26.855%, time: 0.160s
[160/228] Instance: bgd4396, dim: 4396, BKS: 13009, NN cost: 16137, GAP: 24.045%, time: 0.355s
[161/228] Instance: dkc3938, dim: 3938, BKS: 12503, NN cost: 15943, GAP: 27.513%, time: 0.293s
[162/228] Instance: ho14473, dim: 14473, BKS: 177092, NN cost: 223235, GAP: 26.056%, time: 3.306s
[163/228] Instance: frv4410, dim: 4410, BKS: 10711, NN cost: 13215, GAP: 23.378%, time: 0.361s
[164/228] Instance: rw1621, dim: 1621, BKS: 26051, NN cost: 33106, GAP: 27.081%, time: 0.064s
[165/228] Instance: kroB100, dim: 100, BKS: 22141, NN cost: 29158, GAP: 31.692%, time: 0.001s
[166/228] Instance: nu3496, dim: 3496, BKS: 96132, NN cost: 122115, GAP: 27.028%, time: 0.236s
[167/228] Instance: xql662, dim: 662, BKS: 2513, NN cost: 3124, GAP: 24.314%, time: 0.017s
[168/228] Instance: it16862, dim: 16862, BKS: 557315, NN cost: 706076, GAP: 26.692%, time: 4.409s
[169/228] Instance: rbz43748, dim: 43748, BKS: 125183, NN cost: 155840, GAP: 24.490%, time: 28.644s
[170/228] Instance: bna56769, dim: 56769, BKS: 158078, NN cost: 196461, GAP: 24.281%, time: 51.110s
[171/228] Instance: xqe3891, dim: 3891, BKS: 11995, NN cost: 14644, GAP: 22.084%, time: 0.286s
[172/228] Instance: ts225, dim: 225, BKS: 126643, NN cost: 152493, GAP: 20.412%, time: 0.004s
[173/228] Instance: beg3293, dim: 3293, BKS: 9772, NN cost: 12327, GAP: 26.146%, time: 0.213s
[174/228] Instance: fyg28534, dim: 28534, BKS: 78562, NN cost: 96386, GAP: 22.688%, time: 12.579s
[175/228] Instance: portcgen-3162-31624, dim: 3162, BKS: 18864046, NN cost: 25216619, GAP: 33.676%, time: 0.198s
[176/228] Instance: bck2217, dim: 2217, BKS: 6764, NN cost: 8198, GAP: 21.200%, time: 0.108s
[177/228] Instance: pla33810, dim: 33810, BKS: 66048945, NN cost: 77332499, GAP: 17.084%, time: 16.771s
[178/228] Instance: eil51, dim: 51, BKS: 426, NN cost: 511, GAP: 19.953%, time: 0.001s
[179/228] Instance: pbm436, dim: 436, BKS: 1443, NN cost: 1739, GAP: 20.513%, time: 0.009s
[180/228] Instance: ym7663, dim: 7663, BKS: 238314, NN cost: 308730, GAP: 29.548%, time: 0.989s
[181/228] Instance: st70, dim: 70, BKS: 675, NN cost: 830, GAP: 22.963%, time: 0.001s
[182/228] Instance: pla85900, dim: 85900, BKS: 142382641, NN cost: 163516994, GAP: 14.843%, time: 108.716s
[183/228] Instance: fl417, dim: 417, BKS: 11861, NN cost: 15013, GAP: 26.574%, time: 0.009s
[184/228] Instance: gil262, dim: 262, BKS: 2378, NN cost: 3208, GAP: 34.903%, time: 0.005s
[185/228] Instance: kroA150, dim: 150, BKS: 26524, NN cost: 33633, GAP: 26.802%, time: 0.002s
[186/228] Instance: fdp3256, dim: 3256, BKS: 10008, NN cost: 12579, GAP: 25.689%, time: 0.210s
[187/228] Instance: fnc19402, dim: 19402, BKS: 59287, NN cost: 73505, GAP: 23.982%, time: 6.012s
